id,user_id,name,type,balance,currency
dbcb531a-0256-4704-be95-425e3c4f9abb,5dfb98ea-999e-40c5-b107-9f9807844fb0,Tài khoản Techcombank,BANK,0,VND
a2dc4176-0770-4641-bfce-b1458d3483a7,82e08baf-f1bc-4826-b637-3befb0b2634d,Tài khoản Vietcombank,BANK,0,VND
5df3a003-1743-48c7-a737-adddd56254ab,6d681108-6cfd-4e90-aef6-470047b94796,Ví ZaloPay,E_WALLET,0,VND
80c726a1-a60f-4566-bdca-40b42a62b63f,6732e5f2-08dd-44fa-98df-aedec94d3043,Ví Momo,E_WALLET,0,VND
93bbce0b-2d35-4490-9134-108b67f5354e,b7396b2a-8199-4b18-9205-8565fd46ab7d,Ví Momo,E_WALLET,0,VND
edc60f6c-6ffc-4531-a5f1-fccd7ef774ef,1e01b9cc-fb65-42b6-bf19-1753830009d7,Tài khoản MB Bank,BANK,0,VND
b3a03f0c-9def-4c2a-879f-967f690f224e,16f188bd-46ef-4337-8840-d0cbb1222f55,Tài khoản Techcombank,BANK,0,VND
7563f014-a2c6-49b0-829e-ca59782ca1fa,4ce494c5-357c-47fa-b009-c5710ed80d53,Thẻ tín dụng CitiBank,CREDIT_CARD,0,VND
96e4d061-33ef-40da-b293-98d6dbbacb67,e9a1341a-c553-4d4b-9b7c-25b3d910cbe6,Tài khoản Techcombank,BANK,0,VND
e2e03579-5c9e-4e0e-b8bf-909608672040,140c7f72-77e3-43d4-bbde-4f153e628dee,Ví Tiền Mặt,CASH,0,VND
b68b89a6-5716-4000-9be4-6aca43643c23,199aca62-766c-4bec-b260-93d02b553870,Thẻ tín dụng HSBC,CREDIT_CARD,0,VND
34906f5f-68d7-41bf-a9b0-86ba570cbdf7,5c0f3b4c-f847-433e-8581-6cd4cc365062,Tài khoản Vietcombank,BANK,0,VND
20b3f326-cb05-4ebc-a108-b52d0ee72df6,bea859ca-7126-45f6-8624-c3c4a2ca43cf,Tài khoản Vietcombank,BANK,0,VND
cbae696d-dba3-4354-8251-86828eefb577,0e2632b7-49cc-4006-890f-4ddd48120194,Tài khoản Techcombank,BANK,0,VND
535f3e90-385f-4d67-a24e-21f067d22783,02c97460-31fe-41e1-a54a-468892daad1a,Ví Momo,E_WALLET,0,VND
6290c07a-a769-46f2-93f5-4361a3fd30a0,8dd5ae3c-8d47-4f04-a432-61d8a42b6912,Ví Momo,E_WALLET,0,VND
cebb5677-09b8-48f2-95c2-cf5c428d6260,f87bacf6-777f-437a-a4d6-6404682b1368,Thẻ tín dụng CitiBank,CREDIT_CARD,0,VND
8093fe3a-adc5-4cc7-a7a1-d6e6d10adbc4,2ab196d8-5c7f-41cd-abb2-6278fa8a008e,Ví Tiền Mặt,CASH,0,VND
f6f4febb-eda3-4143-bc12-4b88d1a306b6,2cdcdd07-ab5d-4fbf-9c6a-363c8d7912dd,Tài khoản Vietcombank,BANK,0,VND
0549318b-8b7d-40c9-aa07-7274e0012d40,e4fa4032-ecc9-461d-bdb8-e55e2ec044f5,Thẻ tín dụng CitiBank,CREDIT_CARD,0,VND
328d747f-2dda-4d8f-af76-d2e549bb0a30,fd58d414-6cbb-40dc-a3a9-ba062bfc15bc,Ví Momo,E_WALLET,0,VND
390ea435-050d-490c-9759-3632fc6118e7,e463c5da-85ca-423d-bada-c8722a37af4f,Thẻ tín dụng CitiBank,CREDIT_CARD,0,VND
81737e5a-6d6d-4b40-a2f6-ede14096b41a,2f6156c5-f588-47b8-8ff9-86efc08cd4ba,Thẻ tín dụng HSBC,CREDIT_CARD,0,VND
e4bbd980-814e-4dd6-bdd9-a3270350afda,c5af8867-cd76-4cfb-9cb9-551c931f6066,Ví Momo,E_WALLET,0,VND
c3e3ad8f-aeeb-4840-9aec-529d59a8890b,8bcc209f-785e-42d9-8a55-ad309af69514,Thẻ tín dụng VPBank,CREDIT_CARD,0,VND
9cb8c135-f020-4d44-a4c6-1e604b3be1d7,d5a57a26-d876-4149-8da8-37e676a7122f,Ví Tiền Mặt,CASH,0,VND
39661575-13ec-4365-af34-e013699e3611,355dcc1b-bc2e-41a5-8f0a-4de139ca1c6a,Ví ZaloPay,E_WALLET,0,VND
9bd955ea-748b-471c-b9cd-1715acdbd9a3,f09cc247-c28a-49d9-acc3-a7be5ae2474d,Tài khoản Vietcombank,BANK,0,VND
bf242e05-1ba2-4431-9b4f-ae3d139f497e,14c9585c-a11a-432a-932c-49a032ee3a50,Tài khoản MB Bank,BANK,0,VND
